Timestamp,Congestion Event,cwnd,sshthresh
2020-04-21 16:34:09.271806,,2965,1505
2020-04-21 16:34:09.271807,Triple Duplicate,1460,1482
2020-04-21 16:34:09.271808,,1482,1482
2020-04-21 16:34:09.271808,,2942,1482
2020-04-21 16:34:09.272346,Retransmission,1460,1471
2020-04-21 16:34:09.272510,,1471,1471
2020-04-21 16:34:09.272511,,2931,1471
2020-04-21 16:34:09.272512,Triple Duplicate,1460,1465
2020-04-21 16:34:09.272513,,1465,1465
2020-04-21 16:34:09.272513,,2925,1465
2020-04-21 16:34:09.272514,Triple Duplicate,1460,1462
2020-04-21 16:34:09.272515,,1462,1462
2020-04-21 16:34:09.272515,,2922,1462
2020-04-21 16:34:09.272516,Triple Duplicate,1460,1461
2020-04-21 16:34:09.272517,,1461,1461
2020-04-21 16:34:09.272517,,2921,1461
